422,15,26,124,257
390,15,19,69,287
382,10,18,85,269
414,15,23,116,260
410,15,29,101,265
404,20,25,103,256
390,15,18,91,266
424,15,25,121,263
384,15,16,98,255
377,15,16,89,257
406,15,18,105,268
396,15,16,98,267
390,15,23,113,239
410,15,17,116,262
425,15,24,118,268
409,15,16,108,270
395,10,24,101,260
389,15,14,101,259
411,15,17,83,296
378,15,21,85,257
376,15,23,94,244
404,15,16,97,276
386,15,19,94,258
400,15,29,88,268
394,15,16,97,266
422,10,17,131,264
397,10,35,88,264
417,15,18,118,266
354,15,21,91,227
404,10,16,109,269
